id	title	current_median	consensus_date	nb	na	confidence	basis	url	stratum_note	flag_off	note
SA_GE07_hv_apppu	Harivaṃśa (appendix)	415	1st-3rd c. CE (khila/appendix to the Mbh, later than the epic proper; core parva ~1st c. CE, some layers to ~4th c. CE)	1	300	medium	Brockington, The Sanskrit Epics (1998); André Couture (Kushan-era, 1st-3rd c. CE); Hopkins (~200 CE); Masson & Ingalls (lang. 1st-3rd c. CE); Hazra (later rasa-lila layer ~4th c. CE)	https://en.wikipedia.org/wiki/Harivamsa	Late addition: the Harivaṃśa is the khila (supplement/appendix) to the Mahābhārata and is consensually LATER than the epic proper. It was already attached to the Mbh by the 1st c. CE (Aśvaghoṣa quotes verses found only in it). Core (Harivaṃśa-parvan) ~1st c. CE; the text grew into a proto-Purāṇa with later interpolations into the early centuries CE.	True	Current median 415 sits late in/after the consensus window; best estimate centers ~150 CE (1st-3rd c. CE), so current is off by >75y. As a khila it postdates the Mbh core, consistent with the late end of the long Mbh chronology (Brockington 400 BCE-400 CE) rather than the compressed Hiltebeitel short window.
SA_GE07_hv_conpu	Harivaṃśa	247	1st-3rd c. CE (khila/appendix, later than the epic proper; some redaction to ~4th c. CE)	1	300	medium	E. W. Hopkins (~200 CE); R. C. Hazra (4th c. CE on rāsalīlā); Masson & Ingalls (lang. 1st-3rd c. CE); Brockington, The Sanskrit Epics 1998	https://en.wikipedia.org/wiki/Hariva%E1%B9%83%C5%9Ba	Late addition: a khila (supplement/appendix) to the Mahābhārata, composed after the epic's core and attached to it; attested as part of the Mbh by ~1st c. CE (quoted by Aśvaghoṣa). Later than the narrative parvans.	False	Current median 247 sits within the 1st-3rd/4th c. CE late-appendix window; no >75y correction needed. Long-vs-short Mbh debate concerns the epic proper, not the later khila.
SA_GE07_mbh_01_u	Mahābhārata: Ādiparvan	254	core epic with later frame/interpolation layers, within the 400 BCE-400 CE window; framing material 1st-4th c. CE	-400	100	medium	Brockington, The Sanskrit Epics 1998 (~400 BCE-400 CE, four-stage linguistic stratification); Hiltebeitel, Rethinking the Mahābhārata 2001 (~150 BCE-0 CE); Wikipedia on frame interpolations & Spitzer ms.	https://en.wikipedia.org/wiki/Mahabharata	Mixed stratum: Book 1 carries the early narrative core but also the latest framing apparatus (nested frames, Ganeśa-scribe interpolation, genealogies). It is not a purely late book like Anuśāsana(13), the latest layer; the Spitzer ms. (lacking Virāṭa & Anuśāsana) helps fix the latest parvans, not the Ādi core.	True	Current median 254 CE is too late for the core narrative book; consensus core spans late centuries BCE around the turn of the era, with only the framing layers reaching 1st-4th c. CE. Long-vs-short Mbh chronology applies.
SA_GE07_mbh_02_u	Mahābhārata: Sabhāparvan	260	c. 300 BCE - 100 CE (narrative core, early stratum)	-300	100	medium	John Brockington, The Sanskrit Epics (1998) — whole-epic 400 BCE–400 CE; J. A. B. van Buitenen (Sabhāparvan tr.) notes less corruption/addition; Hiltebeitel ~150 BCE–0 CE	https://en.wikipedia.org/wiki/Sabha_Parva	Book 2 (the dicing-game sabhā) is pivotal core plot, part of the early narrative stratum; van Buitenen observed it suffered less interpolation than e.g. Ādiparvan. Earlier than the late didactic layer (Śānti 12, Anuśāsana 13).	True	Core narrative; median should skew earlier than current 260. Long (Brockington) vs short (Hiltebeitel) MBh chronology applies; both keep the dicing/sabhā episode in the early core.
SA_GE07_mbh_03_u	Mahābhārata: Āraṇyakaparvan	250	core battle-leading narrative, ~4th-2nd c. BCE core with later episodic/didactic expansion within the 400 BCE-400 CE epic window	-400	100	medium	Brockington, The Sanskrit Epics 1998 (overall ~400 BCE-400 CE, linguistic stratification); Hiltebeitel, Rethinking the Mahābhārata 2001 (compressed ~150 BCE-0 CE)	https://www.ebsco.com/research-starters/literature-and-writing/composition-mahabharata	Part of the earlier core narrative (the action leading to the war), not a late didactic book like Śānti(12)/Anuśāsana(13). However Book 3 is heavily padded with inserted upākhyāna/tīrtha episodes, so the constituted critical text mixes an early core with later additions.	True	Current median 250 CE is too late for a core narrative parvan; specialist core estimate centres near the turn of the era / late centuries BCE. Note long (Brockington 400 BCE-400 CE) vs short (Hiltebeitel ~150 BCE-0 CE) chronology debate.
SA_GE07_mbh_04_u	Mahābhārata: Virāṭaparvan	274	c. 400 BCE–100 CE (early narrative core; whole-epic redaction to ~400 CE)	-400	100	medium	J. Brockington, The Sanskrit Epics (1998); A. Hiltebeitel, Rethinking the Mahābhārata (2001)	https://www.academia.edu/25511794/John_Brockington_The_Sanskrit_Epics	Book 4, the year-of-disguise narrative preceding the war. A core action/narrative parvan belonging to the EARLY stratum, not the late didactic layer (Śānti 12 / Anuśāsana 13, the latest). Narrative-driven and integral to the main plot, contrasting with the expansive didactic insertions.	True	Current median (274 CE) is at the late edge of the consensus window; as an early narrative-core parvan it is better centered ~150 BCE. Brockington long chronology (400 BCE–400 CE) vs Hiltebeitel short chronology (~150–1 BCE): both treat the narrative core as the earliest layer.
SA_GE07_mbh_05_u	Mahābhārata: Udyogaparvan	229	4th c. BCE - 1st c. CE (older battle-narrative core, Book 5)	-400	100	medium	Brockington, The Sanskrit Epics (Brill 1998), 400 BCE-400 CE long chronology with the war/pre-war narrative as the earlier core	https://www.ebsco.com/research-starters/literature-and-writing/composition-mahabharata	Udyoga ('Book of Effort', pre-war negotiations and embassy) belongs to the older battle-narrative core, NOT the latest didactic layer; it is earlier than the didactic parvans 12-13. It does contain a later didactic insertion (Sanatsujātīya), but the bulk is core narrative.	True	Core narrative is earlier than the current median 229 CE suggests; a core-stratum midpoint is roughly -150 to 0, off by well over 75y. Brockington long chronology vs Hiltebeitel short chronology (~150 BCE-0 CE): both place this narrative core early, not in the 3rd c. CE.
SA_GE07_mbh_06_u	Mahābhārata: Bhīṣmaparvan	272	c. 400 BCE–100 CE (early battle-narrative core; whole-epic redaction to ~400 CE)	-400	100	medium	J. Brockington, The Sanskrit Epics (1998); A. Hiltebeitel, Rethinking the Mahābhārata (2001)	https://en.wikipedia.org/wiki/Mahabharata	Book 6, the opening war book (first 10 days of the war; embeds the Bhagavadgītā, itself a debated insertion). Part of the EARLY narrative core, distinct from the latest didactic layer (Śānti 12 / Anuśāsana 13). War books are the most stable across Northern/Southern recensions, consistent with early composition.	True	Current median (272 CE) lies at the far late edge; the battle narrative is the oldest stratum, better centered ~150 BCE. Brockington long chronology (400 BCE–400 CE) vs Hiltebeitel short chronology (~150–1 BCE) — both assign the war books to the earliest layer. (Bhagavadgītā within may be slightly later, but the parvan frame is core.)
SA_GE07_mbh_07_u	Mahābhārata: Droṇaparvan	272	c. 400 BCE–100 CE (early battle-narrative core; whole-epic redaction to ~400 CE)	-400	100	medium	J. Brockington, The Sanskrit Epics (1998); A. Hiltebeitel, Rethinking the Mahābhārata (2001)	https://www.ebsco.com/research-starters/literature-and-writing/composition-mahabharata	Book 7, a core war/battle-narrative parvan (Droṇa as commander, days 11–15 of Kurukṣetra). Belongs to the EARLY narrative core, not the late didactic layer (Śānti 12, Anuśāsana 13). Manuscript recensions cluster tightly around the war books, indicating they are older/more stable than the fluid peripheral and didactic books.	True	Current median (272 CE) sits at the very end of the range and ignores the early-core status of the war books; the battle narrative is the oldest stratum (archaic Vedic forms, anuṣṭubh), better centered ~150 BCE. Brockington's long chronology (400 BCE–400 CE) vs Hiltebeitel's short (~150–1 BCE single composition) both place the war books in the earliest layer.
SA_GE07_mbh_08_u	Mahābhārata: Karṇaparvan	267	c. 200 BCE - 100 CE (narrative core / war books, early stratum)	-300	100	medium	John Brockington, The Sanskrit Epics (1998) — whole-epic 400 BCE–400 CE; Hiltebeitel, Rethinking the Mahābhārata (2001) — ~150 BCE–0 CE	https://en.wikipedia.org/wiki/Mahabharata	Book 8 is one of the war/battle parvans (Bhīṣma–Drona–Karṇa–Śalya), narrative core / earliest stratum of the epic — earlier than the late didactic books Śānti (12) and Anuśāsana (13, the latest layer).	True	Battle narrative = earliest core layer; median should skew earlier than current 267. Long (Brockington 400 BCE–400 CE) vs short (Hiltebeitel ~150 BCE–0) chronology debate noted.
