id	title	current_median	consensus_date	nb	na	confidence	basis	source_file	recension_note	flag_off	note
SA_K01_abhisdhu	Abhisamācārikadharma	74	ca. 1st c. BCE - 2nd c. CE (Mahāsāṃghika-Lokottaravāda recension; earlier than the Mahāvastu)	-100	200	medium	M. Prasad, A Comparative Study of Abhisamācārikā (1984)	cleaned_Comparative Study of Abhisamacarika_Maulichand Prasad, 1984.txt	The text is the Mahāsāṃghika-Lokottaravāda Vinaya appendix on monastic conduct, surviving only in a single Nepalese BHS MS tradition (critical ed. Abhisamācārika-Dharma Study Group, Taisho Univ. 1998-). Prasad dates the composition layer to after 1st c. BCE and before the Mahāvastu; this is the composition date of this Lokottaravāda recension, the only recension extant.	False	Current median 74 (range -100 to 200) sits within Prasad's scholarly window; not off.
SA_K01_bhikavau	Bhikṣuṇī-Karmavācanā	89	ca. 6th-7th c. CE (Sarvāstivāda/Mūlasarvāstivāda recension; the extant Oxford/Bodleian Sanskrit MS, akin to Gilgit material)	525	700	low	Schmidt 1993 (ed. of Bodleian MS Sansk. c.25); cf. Prebish, Survey of Vinaya Literature (1994); Emms 2012 on Gilgit/Sarvāstivādin material	cleaned_Survey of Vinaya Litterature_Prebish, 1994.txt	Karmavācanā (formulary for ecclesiastical acts, here the nuns' ordination) is procedurally old as a genre, but our text is Schmidt's edition of a single Sanskrit MS (Bodleian Sansk. c.25) belonging to the Sarvāstivāda/Mūlasarvāstivāda tradition, closely related to the Gilgit Karmavācanā material that Wille/Banerjee date to the 5th-6th c. and Emms to ~6th c. CE. Date the surviving Sanskrit MS recension, not the early formulary.	True	Median 89 (range -100 to 200) dates the genre's origin; the extant Sanskrit MS recension is mid-1st-millennium CE. Off by >75y; corrected date low-confidence (no recension-specific date statement, inferred from cognate Gilgit material).
SA_K01_bhivin_u	Bhikṣuṇīvinaya	53	1st-5th c. CE (BHS Ārya-Mahāsāṃghika-Lokottaravādin recension; composed in the period of, and resembling, the Mahāvastu)	1	500	medium	Nolot, Règles de discipline des nonnes bouddhistes (1991); edition: Roth, Bhikṣuṇī-Vinaya (1970)	cleaned_Regles de Discipline des Nonnes Bouddhistes_Edith Nolot, 1991.txt	Nolot: the Lokottaravādin Bhikṣuṇīvinaya is not a 'datable harmonious whole' and shows traces of reshaping; she dates it by analogy with the Mahāvastu to the 1st-5th c. CE, and notes the sole (Beijing) manuscript is palaeographically not later than the 11th-12th c. The pre-sectarian disciplinary core is older, but our Roth edition is this specific BHS Mahāsāṃghika-Lokottaravādin recension, dated to the 1st-5th-c. composition span. Midpoint ~250 CE.	True	cur_med 53 sits at the early (1st-c.) edge; Nolot's 1st-5th-c. composition span centers ~250 CE, >75y later.
SA_K01_bsa068_u	Bhikṣukarmavākya	462	2nd-4th c. CE (Mūlasarvāstivāda Vinaya karmavācanā recension)	150	400	medium	Schopen (Buddhist Monks and Business Matters, 2004) per Clarke; cf. Vogel/Vinaya-redaction debate in French & Nathan (Buddhism and Law, 2014)	cleaned_Clarke_Family Matters in Indian Buddhist Monasticisms.txt	The Bhikṣukarmavākya is an ordination (upasampadā) karmavācanā formulary extracted from the Mūlasarvāstivāda Vinaya; Banerjee edited it from a late Nepalese MS, but the formulary belongs to the MSV Vinaya recension. Scholarship is split: Schopen places the bulk of the MSV-vinaya in NW India in the 1st-2nd c. CE, while Vogel's lunisolar-calendar argument (cited in French & Nathan) would push redactional closing to the 4th-5th c. I date the recension to the overlapping 2nd-4th c. span. The late Nepalese MS is a transmission witness, not the composition date.	True	cur_med 462 reflects only Vogel's late-closing extreme; consensus MSV-vinaya recension is earlier (2nd-4th c.), so median pulled down.
SA_K01_bsu011_u	Bodhisattvaprātimokṣasūtra	638	4th-5th c. CE (early Yogācāra Mahāyāna milieu)	350	500	medium	Davidson, Pure realms and hidden abodes (textual sharing with Bodhisattvabhūmi); Asaṅga c. 315-390 (Apple, Nakamura)	cleaned_Davidson_Pure realms and hidden abodes.txt	Mahāyāna ethics/prātimokṣa text (ed. Dutt 1931, IHQ VII). It shares textual material with Asaṅga's Bodhisattvabhūmi (c. 4th c.; Asaṅga c. 315-390) and incorporates sections of the Upāliparipṛcchā, placing the Sanskrit text squarely in the 4th-5th c. CE early-Yogācāra milieu rather than the 7th c. The Dutt edition is the only Sanskrit recension; its liturgical format later spawned the Chinese apocryphal Fanwang jing. Dating the extant Sanskrit, anchored by its dependence on the Bodhisattvabhūmi.	True	cur_med 638 (7th c.) far too late; text depends on 4th-c. Bodhisattvabhūmi and Upāliparipṛcchā. Corrected to 4th-5th c. CE (medium confidence).
SA_K01_bsu046_u	Prātimokṣasūtra (Mahāsāṃghika — per edition; metadata's 'Mūlasarvāstivāda' is an error)	142	1st c. BCE - 1st c. CE (final compilation of the Mahāsāṃghika Sanskrit recension)	-100	100	high	Prebish, Buddhist Monastic Discipline: The Sanskrit Prātimokṣa Sūtras of the Mahāsāṃghikas and Mūlasarvāstivādins, 1975/1996-2002	cleaned_Buddhist Monastic Discipline. Sanskrit Pratimoksa Sutras of Mahasamghikas and Mulasarvastivadins_Charles S. Prebish, 1996-2002.txt	Edition is Pachow & Mishra's Mahāsāṃghika Prātimokṣa (GRETIL header confirms Mahāsāṃghika, contradicting the item's 'Mūlasarvāstivāda' label). Prebish dates the final compilation of the Mahāsāṃghika-Lokottaravādin Prakrit-cum-quasi-Sanskrit Prātimokṣa to 1st c. BCE-1st c. CE from the Mathurā-inscription language parallels. The surviving Mahāsāṃghika MSS (cf. Roth's Bhikṣuṇī-Vinaya) are 11th-12th c. copies, but the language fixes the recension to the turn of the era; dated to that recension.	True	Actually Mahāsāṃghika (Pachow ed.); recension compiled 1st c. BCE-1st c. CE per Prebish; cur_med 142 too late by ~140y.
SA_K01_bsu058_u	Vinayasūtra [1: Pravrajyāvastu]	612	6th-7th c. CE (authored text)	525	675	medium	Brunnhölzl, Luminous Heart (2009); Crystal Mirror v.5 (1991); Davidson	cleaned_Luminous Heart. Third Karmapa on Consciousness, Wisdom, and Buddha Nature_Karl Brunnholzl, 2009.txt	Single-author Mūlasarvāstivāda Vinaya digest (sūtra-style aphorisms) by Guṇaprabha, condensing the much older MSV Vinaya (esp. the Pravrajyāvastu ordination material). Date refers to Guṇaprabha's own composition, not the underlying Vinaya which is centuries older. Bapat-Gokhale 1982 ed. (Tibetan Sanskrit Works) prints the recovered Sanskrit sūtra text. Sources place Guṇaprabha 6th (Brunnhölzl) to 7th c. (Crystal Mirror).	False	Guṇaprabha 6th-7th c.; cur_med 612 within range
SA_K01_n2853u	Śayanāsanavastu	331	4th-5th c. CE (extant MSV-vinaya, Gilgit Sanskrit recension)	300	450	medium	E. Frauwallner, Earliest Vinaya (1956); G. Schopen, Bones, Stones and Buddhist Monks (1997)	cleaned_Bones, Stones and Buddhist Monks..Archaeology, Epigraphy and Texts of Monastic Buddhism in India_Gregory Schopen, 1997.txt	DSBC re-encoding of Gnoli's Gilgit MSV-vinaya Śayanāsanavastu (same recension as vinv15_u). Old Mathurā core, but our text is the expanded MSV recension dated 4th-5th c.; Gilgit MS itself 6th-7th c. Date the redacted Sanskrit recension, not the early layer.	False	Duplicate of vinv15_u; 4th-5th c.; cur_med 331 within range.
SA_K01_n2892u	Vajrasatvapārājikā [Vajrasattvapārājikā]	719	c. 10th-11th c. CE (late tantric/Nepalese recension, Ādikarmapradīpa corpus)	950	1100	low	O'Neill, Later Mahāyāna References to Book Worship; Bajracharya, Monasticism in Buddhism of Nepal-Mandala (2018) on Anupamavajra; LVP, Bouddhisme: études et matériaux (1898)	cleaned_O'Neill_Later Mahāyāna References to Book Worship.txt	The Vajrasattvapārājikā is the short verse text on the tantric root downfalls (mūlāpatti) that La Vallée Poussin edited (1898) within his Ādikarmapradīpa volume; the Ādikarmapradīpa is by Anupamavajra (dated c. 1098 CE by Bajracharya; 10th-11th c. by O'Neill). The 14-root-downfalls doctrine for a vajra practitioner is firmly late Vajrayāna, so this text belongs to the late-tantric Nepalese ritual corpus, not the 8th c. — not an early sūtra/vinaya despite the 'pārājikā' label.	True	cur_med 719 far too early; late tantric root-vow text tied to Anupamavajra's Ādikarmapradīpa, c. 10th-11th c.
SA_K01_n2894u	Saddharmapārājikā	759	None	None	None	none	Nakamura (1980), incidental notice only	cleaned_Indian Buddhism. A Survey With Bibliographical Notes_Hajime Nakamura, 1980.txt	Not an early canonical vinaya/sūtra. The Saddharmapārājikā is a late Nepalese (Newar) Buddhist adaptation of Brahmanical Dharmaśāstra (prāyaścitta/vrata material), known only from Nepalese MSS; the library offers no recension-specific date. Such Nepalese Pārājikā compositions are medieval (post-1000 CE) rather than ancient, but no scholar in the library fixes a year, so left null.	True	Late Nepalese Dharmaśāstra adaptation; no sourced date, left null (not corrected to a high/med date)
SA_K01_n2896u	Śrīlokeśvarabhāṣitaparājikā	605	None	None	None	none	no recension-specific scholarship located in library		An obscure esoteric text 'spoken by Śrī Lokeśvara' (Avalokiteśvara), edited only on the DSBC (Dhadphale) with no printed critical edition. No scholar in the reference library discusses its date or recension. Thematically it belongs to the developed esoteric Avalokiteśvara cult (broadly 7th-8th c.), but with no sourced statement a date is not asserted; current median 605 is retained as the prior, not endorsed.	False	Nothing recension-specific in library; consensus_date null, confidence none.
