work	not_after	transl_date	taisho	sanskrit_id	title
SA_K10_vimkn_u	203	223	T0474	SA_K10_vimkn_u	佛說維摩詰經
SA_K10_bsu061_u	203	223	T0474	SA_K10_bsu061_u	佛說維摩詰經
SA_K08_bsu020_u	245	265	T0351	SA_K08_bsu020_u	佛說摩訶衍寶嚴經
SA_K10_bsu018_u	330	350	T0158	SA_K10_bsu018_u	大乘悲分陀利經
SA_T06_bsa034	394	414	T1581	SA_T06_bsa034	菩薩地持經
SA_K10_jnalokau	481	501	T0357	SA_K10_jnalokau	如來莊嚴智慧光明入一切佛境界經
SA_K10_bsu010_u	488	508	T0575	SA_K10_bsu010_u	佛說大方等修多羅王經
SA_K06_bsu051_u	489	509	T0236a	SA_K06_bsu051_u	金剛般若波羅蜜經
SA_T11_bsa069_u	498	518	T1633	SA_T11_bsa069_u	如實論
SA_K10_n267u	518	538	T0423	SA_K10_n267u	僧伽吒經
SA_K10_samghscu	518	538	T0423	SA_K10_samghscu	僧伽吒經
SA_K10_bsu045_u	518	538	T0423	SA_K10_bsu045_u	僧伽吒經
SA_K10_bsu034_u	537	557	T0639	SA_K10_bsu034_u	月燈三昧經
SA_T06_vmvkbh_u	538	558	T1599	SA_T06_vmvkbh_u	中邊分別論
SA_T07_vakobhau	543	563	T1559	SA_T07_vakobhau	阿毘達磨俱舍釋論
SA_K12_n283u	595	615	T0449	SA_K12_n283u	佛說藥師如來本願經
SA_K12_bsu012_u	595	615	T0449	SA_K12_bsu012_u	佛說藥師如來本願經
SA_T06_asabhs_u	605	625	T1605	SA_T06_asabhs_u	大乘阿毘達磨集論
SA_T06_abhsubhu	626	646	T1606	SA_T06_abhsubhu	大乘阿毘達磨雜集論
SA_T06_bsa065	627	647	T1612	SA_T06_bsa065	大乘五蘊論
SA_K12_prajnhsu	628	648	T0251	SA_K12_prajnhsu	般若波羅蜜多心經
SA_K06_bsu054_u	628	648	T0251	SA_K06_bsu054_u	般若波羅蜜多心經
SA_K10_dvtasutu	628	648	T0592	SA_K10_dvtasutu	天請問經
SA_T07_vakobhk	631	651	T1560	SA_T07_vakobhk	阿毘達磨俱舍論本頌
SA_T06_bsa010_u	641	661	T1601	SA_T06_bsa010_u	辯中邊論頌
SA_T05_bsu027_u	641	661	T0124	SA_T05_bsu027_u	緣起經
SA_K14_amoghapu	673	693	T1095	SA_K14_amoghapu	不空羂索呪心經
SA_T04_bsa015_u	680	700	T1674	SA_T04_bsa015_u	龍樹菩薩勸誡王頌
SA_K01_prmosubu	690	710	T1454	SA_K01_prmosubu	根本說一切有部戒經
SA_K07_atrisatu	691	711	T1514	SA_K07_atrisatu	能斷金剛般若波羅蜜多經論頌
SA_K10_bsu031	726	746	T0710	SA_K10_bsu031	慈氏菩薩所說大乘緣生稻𦼮喻經
SA_K12_sarvttsu	733	753	T0865	SA_K12_sarvttsu	金剛頂一切如來真實攝大乘現證大教王經
SA_K10_n262u	953	973	T0758	SA_K10_n262u	佛說諸行有為經
SA_T10_bsa067_u	960	980	T1574	SA_T10_bsa067_u	大乘破有論
SA_T03_bsa011_u	960	980	T1518	SA_T03_bsa011_u	佛母般若波羅蜜多圓集要義論
SA_K05_bsu049_u	960	980	T0228	SA_K05_bsu049_u	佛說佛母出生三法藏般若波羅蜜多經
SA_K10_dbsu1-4u	960	980	T0781	SA_K10_dbsu1-4u	佛說佛十力經
SA_K10_sf258_sc	960	980	T0505	SA_K10_sf258_sc	佛說隨勇尊者經
SA_T04_nagmyv_u	960	980	T1576	SA_T04_nagmyv_u	大乘二十頌論
SA_K06_bsu028pu	981	1001	T0229	SA_K06_bsu028pu	佛說佛母寶德藏般若波羅蜜經
SA_T04_sanssr	984	1004	T1636	SA_T04_sanssr	大乘集菩薩學論
SA_T08_suvrnavu	989	1009	T0550	SA_T08_suvrnavu	金色童子因緣經
SA_K12_manjn1pu	1294	1314	T1189	SA_K12_manjn1pu	佛說文殊菩薩最勝真實名義經
