type	arg1	arg2	arg3	note
anchor	SA_T01_Nāgārjuna_Acintyastava_Szántó	100	300	[high] Acintyastava, authentic Catuḥstava (Lindtner; Tola & Dragonetti; Tucci)
anchor	SA_T01_Nāgārjuna_Dharmadhātustava_Szántó	200	600	[low] Dharmadhātustava, attribution to Nāgārjuna doubted, tathāgatagarbha (Liu 2015; Ruegg)
anchor	SA_T01_Nāgārjuna_Lokātītastava_Szántó	100	300	[high] Lokātītastava, authentic Catuḥstava (Lindtner 1982; Tola & Dragonetti)
anchor	SA_T01_Nāgārjuna_Narakoddharastava_Szántó	200	800	[low] Narakoddhārastava, Lindtner deems inauthentic/doubtful, devotional later
anchor	SA_T01_Nāgārjuna_Niraupamyastava_Szántó	100	300	[high] Niraupamyastava, authentic Catuḥstava (Tucci; Lindtner; Tola & Dragonetti)
anchor	SA_T01_Nāgārjuna_Paramārthastava_Szántó	100	300	[high] Paramārthastava, authentic Catuḥstava (Tucci; Lindtner; Tola & Dragonetti)
anchor	SA_T01_Nāgārjuna_Sattvārādhanastava-Cheung_Szántó	100	500	[low] Sattvārādhanastava, attrib. Nāgārjuna, authenticity uncertain (Lévi 1929; Cheung)
anchor	SA_T01_Nāgārjuna_Sattvārādhanastava-Lévi_Szántó	100	500	[low] Sattvārādhanastava, attrib. Nāgārjuna, authenticity uncertain (Lévi 1929; Cheung)
anchor	SA_T01_Nāgārjuna_Trikāyastava_Szántó	200	600	[low] Trikāyastava, attribution doubtful, developed trikāya doctrine, likely later
anchor	SA_T01_Harṣa_Aṣṭamahācaityavandanā_Szántó	606	647	[high] Aṣṭamahācaityavandanā, ascr. King Śrīharṣadeva of Kanauj (Szántó, Dimitrov, Schlingloff)
anchor	SA_T01_Harṣa_Mārajitstotra_Szántó	606	647	[high] Mārajitstotra, ascr. King Śrīharṣadeva of Kanauj (Szántó, Dimitrov)
anchor	SA_T01_Harṣa_Suprabhātastava_Szántó	606	647	[high] Suprabhātastava by Śrīharṣadeva, r. Kanauj (Szántó, AAV 2022, Dimitrov)
anchor	SA_T01_Candragomin_Deśanāstava_Szántó	400	675	[medium] Deśanāstava; Candragomin dated 5th c. (Skt sources) vs 7th c. (Tibetan/Tatz)
anchor	SA_T01_Sugataśrī_Kīrtidhvajapraśasti_Szántó	1000	1500	[low] Kīrtidhvajapraśasti; obscure Sugataśrī, dated by Pāla/medieval Nepal context (Szántó)
anchor	SA_T01_Āditya_Vanaratnastotra_Szántó	1400	1500	[high] Vanaratnastotra praises Vanaratna (1384–1468); 15th c. terminus post quem (Mathes, Szántó)
anchor	SA_T01_Mātṛceṭa_Śatapañcāśatka_Szántó	50	200	[medium] Śatapañcāśatka (Mātṛceṭa c.1st–2nd c.; Shackleton Bailey, Schlingloff, Hartmann)
