id	title	current_median	consensus_date	nb	na	confidence	basis	source_file	note
SA_GR13_bhnstcpu	Stavacintāmaṇi	887	before Kṣemarāja (early 11th c.); likely 9th-10th c.	800	1000	medium	Sanderson, Śaivism and the Tantric Traditions	cleaned_Sanderson_Śaivism and the tantric traditions.txt	Śaiva devotional hymn-collection commented on by Kṣemarāja (fl. early 11th c.), so the work predates him; grouped with Utpaladeva's Stotrāvalī, suggesting 9th-10th c. Distinguish work from Kṣemarāja's commentary. Range consistent with cur_med.
SA_GR13_bijnighu	Bījanighaṇṭu	994	None	750	1450	none	no specialist dating found; only bibliographic listing (Tantrābhidhāna corpus)	cleaned_Ritual and Speculation in Early Tantrism. Studies in Honor of André Padoux_Teun Goudriaan, ed, 1992.txt	Tantric seed-syllable (bīja) lexicon of the Tantrābhidhāna group; only listed bibliographically, no scholarly date. Wide uncertainty retained. Confidence none.
SA_GR13_cakbh_pu	Cakrapāṇinātha: Bhāvopahārastotra	1075	late 11th–early 12th c. CE	1050	1158	medium	Sanderson 2009, The Śaiva Age (refining his 2007a)	cleaned_Sanderson_The Śaiva Age.txt	Kashmirian Krama (Kāpālika-observance) author; later than Kṣemarāja (c. 1050), MS of his Bhāvopahārapūjā dated 1158/9, so before mid-12th c.
SA_GR13_cakbhavu	Cakrapāṇinātha: Bhāvopahārastotra	1077	late 11th–early 12th c. CE	1050	1158	medium	Sanderson 2009, The Śaiva Age (refining his 2007a)	cleaned_Sanderson_The Śaiva Age.txt	Duplicate of SA_GR13_cakbh_pu (same Bhāvopahārastotra of Cakrapāṇinātha); later than Kṣemarāja, MS dated 1158/9.
SA_GR13_devikapu	Devīkālottara-Āgama	789	7th-9th c. CE	600	900	medium	Sanderson, History through Textual Criticism (re Kālottara recensions); cf. Goodall on the Kālottara/Kālajñāna recensions	cleaned_Sanderson_History through textual criticism.txt	Devīkālottara is one of the short recensions of the Saiddhāntika Kālottara. Sanderson: Kālottara current by the 9th c., early Kālottara plausibly earlier; Goodall edits these recensions. 7th-9th c. range; midpoint ~750 close to machine median 789.
SA_GR13_goramaru	Āmaraughaśāsana	1167	12th c. CE	1100	1200	medium	Mallinson (in Jacobsen 2012, Yoga Powers); cf. Birch 2023	cleaned_Yoga Powers_Knut A. Jacobsen, 2012_a.txt	Early hathayoga text predating the Hathapradīpikā (~15th c.); Birch 2023 (cited in src) edits it as an early-stratum work, c. 12th c. Distinct from later Amaraughaprabodha (c. 14th c.). Confirms current median.
SA_GR13_gorst1pu	Gorakṣaśataka	1121	c. 1400 CE	1375	1425	high	Mallinson, White_Yoga in Practice (and Khecarīvidyā 2003)	cleaned_White_Yoga in Practice.txt	CHANGED. Mallinson distinguishes the TRUE Gorakṣaśataka (core vv.7-64, c.1400 CE) from the Vivekamārtaṇḍa later misnamed Gorakṣaśataka (earliest MS 1477). Dated by borrowings into the 15th-c. Haṭhapradīpikā; absent from the 1363 Śārṅgadharapaddhati.
SA_GR13_gorst2pu	Gorakṣaśataka	1128	12th-14th c. CE (terminus ad quem 1363)	1100	1363	medium	Mallinson 2007 (Khecarīvidyā); White 2011 (Yoga in Practice)	cleaned_Khecari-Vidya (Hatha Yoga) _James Mallinson, 2003.txt	Mallinson shows the work now called Gorakṣaśataka is originally the Vivekamārtanda (attributed to Gorakṣa), with terminus ad quem the Śārngadharapaddhati (1363). White separately notes a distinct Gorakṣaśataka core well known c.1400. Early-haṭha work; consistent with current median.
SA_GR13_jssivppu	Jñānaśambhu: Śivapūjāstava	1148	12th c. CE	1100	1200	medium	Sanderson 2009, The Śaiva Age (Jñānaśambhu, Golakī-maṭha guru in Somaśambhu's lineage, patronized by Kalacuri/Cedi kings)	cleaned_Sanderson_The Śaiva Age.txt	Base Śivāgama hymn (not its anonymous 13th-c. Śivapūjāstavavyākhyā). Author is the central-Indian Golakī-maṭha guru Jñānaśambhu, successor of Somaśambhu (fl. late 11th c.), under Kalacuri patronage; places him in the 12th c.
SA_GR13_kalhans_u	Ardhanārīśvarastotra	1149	mid 12th c. CE	1125	1175	low	Floruit of Kalhaṇa, author of Rājataraṅgiṇī 1148-1149 (Davidson; Kulke & Rothermund)	cleaned_Davidson_Indian Esoteric Buddhism_ A Social History of the Tantric Movement.txt	Short Śaiva hymn whose only dating handle is the attribution to the Kashmirian chronicler Kalhaṇa (fl. c.1148-1150). No specialist dating of the stotra itself in library; attribution itself uncertain (also circulates in a Purāṇic/Brahmā frame).
