type	arg1	arg2	arg3	note
anchor	SA_MB_YogavaasisthaSampurnamIIORGHK	1000	1399	[medium] valmiki: yogavāsiṣṭha part 6 wit (Slaje, Hanneder; Wikipedia Yoga Vasish)
anchor	SA_MB_vyasishtaCutpattiprakarnamHK	1000	1399	[medium] valmiki: yogavāsiṣṭha part 6 wit (Slaje, Hanneder; Wikipedia Yoga Vasish)
anchor	SA_MB_Yvaasistha1vairaagyaprakaranamHK	1000	1399	[medium] valmiki: yogavāsiṣṭha part 6 wit (Slaje, Hanneder; Wikipedia Yoga Vasish)
anchor	SA_MB_YvaasisthaBmumuksuvyavaharaprakaranamHK	1000	1399	[medium] valmiki: yogavāsiṣṭha part 6 wit (Slaje, Hanneder; Wikipedia Yoga Vasish)
anchor	SA_MB_yogavyasishthaEupasamaprakaranamHK	1000	1399	[medium] valmiki: yogavāsiṣṭha part 6 wit (Slaje, Hanneder; Wikipedia Yoga Vasish)
anchor	SA_MB_vyasishthaDsthitiprakaranamHK	1000	1399	[medium] valmiki: yogavāsiṣṭha part 6 wit (Slaje, Hanneder; Wikipedia Yoga Vasish)
anchor	SA_GP12_skp	550	700	[high] Skandapurāṇa (Bakker & Isaacson, critical edition; B)
anchor	SA_GSP27_moksop_u	900	1000	[high] Mokṣopāya (Slaje, Mokṣopāya Project (Halle); Hann)
anchor	SA_GSP35_sa_mokSopAya	900	1000	[high] Mokṣopāya (Slaje, Mokṣopāya Project (Halle); Hann)
anchor	SA_GSP33_brssbh1u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brssbh4u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brssbh3u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brssbh2u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brssgo4u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsvbh3u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brssgo3u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsvbh4u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brssgo1u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsvbh2u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brssgo2u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsvbh1u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsgor2u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsgor4u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsgor1u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GSP33_brsgor3u	-200	400	[medium] Brahmasūtra: Adhyāya 1 (Nakamura, Hiriyanna; standard Vedanta )
anchor	SA_GS24_jvkasipu	600	700	[high] Kāśikāvṛtti (Cardona, Pāṇinian grammar studies)
anchor	SA_MB_Tantraloka-15-37-HK	975	1025	[high] abhinavagupta: tantrāloka chapte (Sanderson; Wikipedia Abhinavagupta)
anchor	SA_MB_Tantraloka-1-14-HK	975	1025	[high] abhinavagupta: tantrāloka chapte (Sanderson; Wikipedia Abhinavagupta)
anchor	SA_K12_mamuka	500	1100	[low] Mañjuśrīmūlakalpa [Āryamañjuśrī  (Matsunaga; Sanderson on early tantric )
anchor	SA_K12_bsu041_u	500	1100	[low] Mañjuśrīmūlakalpa [Āryamañjuśrī  (Matsunaga; Sanderson on early tantric )
anchor	SA_GSD36_manubhau	820	1000	[high] Manubhāṣya (Kane HDS; Lingat; Wikipedia Medhātithi)
anchor	SA_GE07_mbh_12_u	-200	400	[medium] Mahābhārata: Śāntiparvan (Brockington, Sanskrit Epics; Fitzgeral)
anchor	SA_K02_sspp2_3u	100	400	[low] Śatasāhasrikā Prajñāpāramitā II- (Conze, Prajñāpāramitā Literature)
anchor	SA_K02_sspp2_4u	100	400	[low] Śatasāhasrikā Prajñāpāramitā II- (Conze, Prajñāpāramitā Literature)
anchor	SA_K02_sspp2_2u	100	400	[low] Śatasāhasrikā Prajñāpāramitā II- (Conze, Prajñāpāramitā Literature)
anchor	SA_K02_sspp2_1u	100	400	[low] Śatasāhasrikā Prajñāpāramitā II- (Conze, Prajñāpāramitā Literature)
anchor	SA_GP12_agp_bi_u	750	1100	[medium] Agni-Purāṇa (Rocher, The Purāṇas; Hazra)
anchor	SA_MB_saradatilakaHK	1000	1200	[medium] lakṣmaṇadeśikendra: śāradātilaka (Bühnemann; Goudriaan & Gupta, Hindu Ta)
anchor	SA_GP12_nardp2_u	875	1100	[low] Nārada-Purāṇa 1 [Nāradīya-Purāṇa (Rocher, The Purāṇas; Hazra)
anchor	SA_GP12_nardp1_u	875	1100	[low] Nārada-Purāṇa 1 [Nāradīya-Purāṇa (Rocher, The Purāṇas; Hazra)
